ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,NOM,MPC,SLOC,AHF,MIF,AIF,CF,MHF,PF,CC,LOC,NNL,MI
org.thymeleaf.ConfigurationPrinterHelper,7.0,1.0,0.0,34.0,98.0,19.0,6.0,45.0,329.0,1111.0,0.0,0.3333,0.0,0.8333,,157.1429,0.875,4.0,
org.thymeleaf.ConfigurationPrinterHelper$ConfigLogBuilder,9.0,1.0,0.0,1.0,16.0,0.0,,,,114.0,0.0,0.5556,0.0,,,11.4444,0.6875,,
org.thymeleaf.ConfigurationPrinterHelper.ConfigLogBuilder,,1.0,0.0,3.0,,22.0,9.0,3.0,40.0,,,,,0.8889,,,51.0,1.0,
org.thymeleaf.DialectConfiguration,5.0,1.0,0.0,5.0,7.0,0.0,5.0,3.0,28.0,47.0,1.0,0.5333,0.0,0.0,,7.8,0.5,0.0,
org.thymeleaf.DialectSetConfiguration,26.0,1.0,0.0,31.0,91.0,279.0,26.0,43.0,535.0,1411.0,3.0,0.2,0.0,0.1923,,52.5769,0.9156,5.0,
org.thymeleaf.DialectSetConfiguration$AggregateExpressionObjectFactory,5.0,1.0,0.0,3.0,16.0,0.0,,,,166.0,1.0,0.45,0.0,,,31.8,0.0,,
org.thymeleaf.DialectSetConfiguration.AggregateExpressionObjectFactory,,1.0,0.0,6.0,,20.0,5.0,6.0,62.0,,,,,0.0,,,74.0,2.0,
org.thymeleaf.EngineConfiguration,32.0,1.0,0.0,20.0,78.0,60.0,31.0,29.0,191.0,386.0,5.0,0.1914,0.0,0.0323,,10.7813,0.8996,2.0,
org.thymeleaf.EngineConfiguration$LinkBuilderComparator,5.0,1.0,0.0,2.0,8.0,8.0,,,,29.0,1.0,0.4167,0.0,,,4.6,0.75,,
org.thymeleaf.EngineConfiguration$MessageResolverComparator,5.0,1.0,0.0,2.0,8.0,8.0,,,,29.0,1.0,0.4167,0.0,,,4.6,0.75,,
org.thymeleaf.EngineConfiguration$TemplateResolverComparator,5.0,1.0,0.0,2.0,8.0,8.0,,,,29.0,1.0,0.4167,0.0,,,4.6,0.75,,
org.thymeleaf.EngineConfiguration.LinkBuilderComparator,,1.0,0.0,2.0,,100.0,2.0,2.0,9.0,,,,,0.0,,,12.0,0.0,
org.thymeleaf.EngineConfiguration.MessageResolverComparator,,1.0,0.0,2.0,,100.0,2.0,2.0,9.0,,,,,0.0,,,12.0,0.0,
org.thymeleaf.EngineConfiguration.TemplateResolverComparator,,1.0,0.0,2.0,,100.0,2.0,2.0,9.0,,,,,0.0,,,12.0,0.0,
org.thymeleaf.IEngineConfiguration,27.0,1.0,0.0,90.0,27.0,351.0,27.0,13.0,29.0,27.0,0.0,0.4815,0.0,0.0,,0.0,2.0,0.0,
